USN,p1r1,p1r2,p1r3,p1r4,p1r5,p1r6,p2r1,p2r2,p2r3,p2r4,p2r5,p2r6,p3r1,p3r2,p3r3,p3r4,p3r5,p3r6,p4r1,p4r2,p4r3,p4r4,p4r5,p4r6,p5r1,p5r2,p5r3,p5r4,p5r5,p5r6
1RV23CS416,4,3,5,3,,,4,6,3,4,,,,,,,,,,,,,,,,,,,,
1RV23CS417,4,3,6,4,,,4,5,3,4,,,,,,,,,,,,,,,,,,,,
1RV22CS181,4,4,6,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RV22CS183,4,4,6,4,,,4,5,7,4,,,,,,,,,,,,,,,,,,,,
1RV22CS184,4,4,4,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS185,4,4,5,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS186,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS187,4,4,4,4,,,4,4,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS188,4,4,6,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS189,4,4,5,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS190,4,4,5,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS191,4,4,5,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS192,4,4,5,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS193,4,4,5,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS194,4,4,5,4,,,4,5,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS195,4,4,5,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS196,4,4,3,4,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,
